Id,AnConstructie,NumarEtaje,Monument,StructuraTip,RiscZidarie,RiscStructura,NrApartamente,NrPersoaneZiua,NrPersoaneNoaptea,NrAngajati,NrVizitatori,VULNERAB,avariere
5,1963,8,0,1,0,0,28,58,58,25,0,E,1
6,1819,1,1,2,10,110,0,0,0,0,0,B,3
7,1900,2,0,7,100,11,0,0,0,0,0,F,0
8,1940,1,1,1,110,11,0,0,0,0,0,G,0
9,1900,2,0,3,110,1,9,25,25,0,0,B,3
10,1846,2,0,3,110,11,0,0,10,6,150,B,3
11,1940,3,0,8,100,11,0,0,0,0,0,E,1
12,1900,6,0,1,100,0,36,140,80,2,0,B,3
14,1890,2,0,2,111,10,4,8,8,0,0,A,4
16,1940,1,0,3,110,10,3,10,5,1,0,B,3
17,1900,1,0,3,0,0,4,12,12,4,100,B,3
19,1900,1,0,3,0,0,6,20,20,0,0,B,3
21,1890,0,0,2,0,0,0,0,0,0,0,B,3
22,1880,2,0,5,100,0,0,0,20,0,0,B,3
23,1883,2,0,4,0,0,0,0,2,0,0,B,3
24,1890,4,0,5,100,1,0,0,20,0,0,B,3
25,1890,4,0,1,100,1,0,0,10,0,0,B,3
28,1890,2,1,5,0,0,0,0,0,0,0,A,4
29,1900,2,0,1,110,11,0,0,10,0,0,B,3
30,1890,1,0,3,110,0,0,0,0,4,10,B,3
31,1900,8,0,5,111,0,0,0,50,0,0,B,3
32,1900,6,0,1,110,1,0,0,50,2,50,B,3
35,1890,3,0,1,111,0,12,36,30,0,0,B,3
36,1890,4,0,1,110,10,20,40,40,0,0,B,3
37,1890,8,0,1,0,10,0,0,100,0,0,B,3
38,1900,1,0,2,0,0,2,8,8,0,0,B,3
39,1900,3,0,1,0,0,35,75,75,1,15,B,3
40,1890,5,0,1,100,0,48,90,90,0,0,B,3
41,1995,0,0,9,0,0,0,0,0,0,0,C,2
42,1900,5,0,1,100,0,12,30,30,0,0,B,3
43,1900,3,0,1,0,0,12,35,35,0,0,B,3
45,1900,1,0,2,0,0,1,2,2,0,0,B,3
46,1900,4,0,1,110,10,0,0,0,0,0,B,3
47,1900,2,0,2,100,10,4,16,16,0,0,A,4
48,1890,3,0,2,111,11,12,25,25,0,0,A,4
49,1900,2,0,3,110,0,4,10,10,0,0,B,3
50,1900,3,0,3,100,0,3,8,8,0,0,B,3
51,1900,3,0,3,0,0,3,12,12,0,0,B,3
53,1900,6,0,1,0,0,0,0,2,0,0,D,1
54,1900,2,1,3,100,0,0,0,0,0,0,B,3
55,1900,2,0,2,110,11,6,20,20,0,0,A,3
56,1900,2,1,3,100,0,6,24,20,2,100,B,3
57,1900,5,0,1,0,0,0,0,0,0,0,B,4
58,1900,1,0,3,100,0,0,0,1,0,0,B,3
59,1900,2,1,3,100,1,4,15,15,1,25,B,3
60,1900,2,1,3,110,0,4,15,15,2,0,B,3
61,1900,1,1,3,100,1,0,0,0,2,40,B,3
62,1900,2,1,2,0,0,3,12,12,0,0,A,3
64,1890,1,0,2,110,11,2,6,3,0,0,A,4
65,1900,3,0,2,100,110,3,6,6,0,0,A,4
67,1900,2,1,3,111,111,12,48,48,0,0,A,4
68,1900,3,1,3,100,0,5,15,15,0,0,B,4
69,1900,1,1,3,111,1,4,12,12,2,10,B,3
70,1900,2,1,2,110,11,0,0,0,1,100,A,3
71,1900,2,1,2,111,11,0,0,0,0,0,A,4
72,1900,1,1,2,110,1,4,16,16,0,0,A,4
73,1900,1,1,2,111,0,0,0,0,0,0,A,4
74,1900,1,1,2,0,0,0,0,0,0,0,A,4
75,1900,1,1,3,110,0,4,12,12,4,70,B,4
76,1900,2,0,2,100,0,2,6,6,0,0,A,3
77,1849,2,1,3,0,0,0,0,10,0,0,B,3
83,1900,1,1,2,110,0,1,4,4,0,0,A,4
84,1900,2,1,3,110,1,4,15,15,0,0,B,3
86,1900,1,1,3,110,11,4,12,12,0,0,B,4
87,1900,5,1,4,0,1,0,0,0,0,0,A,4
88,1900,1,1,2,0,10,0,0,0,0,0,A,4
89,1900,1,1,2,110,10,0,0,0,0,0,A,4
90,1900,1,1,2,0,11,0,0,0,0,0,A,4
91,1819,0,1,3,0,0,0,0,0,0,0,B,3
93,1900,2,0,1,110,10,0,0,20,0,0,A,4
94,1900,3,0,3,0,1,8,20,20,0,0,B,3
95,1898,4,1,4,0,0,0,0,0,25,300,B,3
96,1890,2,1,5,110,10,0,0,1,0,0,G,0
97,1900,2,1,5,100,0,0,0,1,5,21,B,3
98,1900,7,0,1,100,1,42,90,2,5,100,B,3
99,1900,3,0,4,110,101,8,20,20,0,0,A,3
101,1900,2,0,2,110,10,0,0,0,0,0,A,4
102,1900,1,0,2,10,0,2,6,6,0,0,A,4
103,1900,1,0,2,110,0,3,14,14,2,30,A,4
104,1900,1,0,1,100,0,0,0,0,0,0,C,4
105,1900,1,0,2,100,10,0,0,0,0,0,A,2
106,1900,1,1,3,101,10,6,15,15,3,20,B,4
107,1900,2,0,3,110,0,18,30,30,0,0,B,3
108,1852,0,0,2,0,0,0,0,1,0,0,B,3
109,1900,1,0,2,110,0,4,15,15,0,0,B,3
110,1900,1,0,2,110,0,4,15,15,0,0,A,3
111,1900,2,1,3,111,1,4,10,10,0,0,B,4
112,1900,2,0,3,0,0,9,25,25,0,0,B,3
113,1852,2,0,3,110,11,4,12,12,0,0,B,3
114,1852,2,1,3,0,0,0,0,0,0,0,G,0
115,1900,2,0,3,110,0,4,12,12,0,0,B,3
116,1900,2,0,3,110,1,2,8,8,0,0,B,3
117,1900,2,0,3,10,101,6,18,18,0,0,B,3
118,1890,2,1,3,0,0,12,35,35,0,0,B,3
120,1910,3,0,5,0,0,12,24,24,0,0,B,3
122,1900,2,0,1,0,0,0,0,0,4,50,B,3
123,1900,1,1,1,0,0,0,0,0,0,0,B,3
126,1900,4,1,1,0,0,0,0,0,0,0,B,3
127,1900,1,0,3,0,0,0,0,2,4,50,B,3
128,1724,0,1,3,0,0,0,0,0,0,0,B,3
129,1885,2,1,6,0,0,0,0,2,0,0,D,1
130,1880,4,1,1,0,0,0,0,2,0,0,C,2
131,1876,2,1,4,0,0,0,0,1,10,100,B,3
132,1978,6,0,1,0,0,36,74,74,0,0,E,3
133,1900,2,1,1,0,0,0,0,80,0,0,B,3
134,1883,2,1,4,110,10,0,0,0,0,0,A,1
135,1890,1,1,2,110,1,8,20,20,0,0,A,4
136,1900,0,1,1,0,0,0,0,1,8,150,B,3
137,1873,1,1,3,0,0,0,0,0,0,0,B,3
138,1890,1,1,1,0,0,0,0,1,0,0,C,4
139,1890,2,1,3,0,0,0,0,1,0,0,B,2
140,1890,2,1,1,0,0,0,0,1,0,0,D,3
141,1900,2,1,1,110,10,0,0,0,0,0,B,1
142,1890,2,1,9,110,10,2,5,5,0,0,B,3
143,1890,0,1,1,0,0,0,0,0,0,0,B,3
144,1890,2,1,2,100,10,0,0,0,0,0,B,3
145,1890,0,1,9,0,0,0,0,0,0,0,C,3
146,1890,1,1,2,110,10,0,0,0,0,0,G,2
147,1920,7,0,1,100,0,0,0,1,0,0,B,3
148,1890,3,1,3,110,10,8,24,24,6,200,B,3
149,1890,1,1,1,0,0,0,0,0,0,0,C,2
150,1890,1,1,1,110,0,6,15,15,0,0,B,3
151,1890,0,0,9,100,0,0,0,0,0,0,C,2
152,1890,1,0,1,100,0,0,0,0,0,0,C,2
153,1890,1,1,1,110,0,0,0,0,0,0,A,4
154,1890,1,1,1,100,0,0,0,0,0,0,A,4
155,1890,1,1,2,101,1,0,0,0,0,0,B,3
156,1890,0,1,4,100,0,0,0,0,0,0,B,3
157,1900,2,1,3,110,10,0,1,0,0,0,B,3
158,1890,0,0,2,0,0,0,0,0,0,0,B,3
160,1911,2,0,3,0,0,8,25,25,0,0,B,3
161,1900,1,1,3,110,1,0,0,0,0,0,B,3
162,1900,2,0,3,101,1,3,8,8,0,0,B,3
163,1900,1,0,2,110,110,2,6,6,0,0,B,3
164,1900,2,0,2,100,0,2,5,5,0,0,A,4
165,1900,3,0,2,110,11,6,20,20,0,0,A,4
166,1900,2,1,2,110,1,6,20,20,0,0,A,4
167,1900,3,0,3,0,1,6,18,18,0,0,B,3
168,1900,2,0,3,100,1,0,0,0,0,0,B,3
169,1900,2,1,3,110,0,0,0,0,0,0,B,3
170,1890,1,0,3,0,0,0,0,0,0,0,B,3
171,1890,1,1,3,110,111,0,0,0,0,0,B,3
173,1890,3,0,1,0,0,0,0,0,0,0,B,3
174,1900,6,0,1,100,0,0,0,0,0,0,B,3
175,1890,2,0,2,110,1,8,25,25,0,0,B,3
176,1900,2,0,2,0,0,0,0,0,0,0,D,1
177,1900,2,0,2,0,0,4,14,14,0,0,D,1
178,1900,2,0,2,0,0,3,7,7,0,0,B,3
179,1900,2,1,2,0,0,0,0,1,0,0,B,3
180,1900,0,0,2,0,0,0,0,5,0,0,B,3
181,1900,1,0,2,0,0,2,6,6,0,0,B,3
182,1900,2,0,2,0,0,2,6,6,0,0,A,4
183,1900,2,0,2,0,0,2,8,8,0,0,A,4
184,1900,1,0,2,0,0,0,0,0,0,0,A,4
185,1900,2,0,2,100,0,4,12,12,0,0,B,3
186,1900,1,0,2,0,0,0,0,0,0,0,A,4
187,1900,2,0,2,110,0,0,0,0,0,0,A,4
188,1900,2,0,2,110,0,0,0,0,0,0,A,4
189,1900,1,0,2,100,0,0,0,0,0,0,A,4
190,1900,1,0,2,110,0,0,0,0,0,0,A,4
191,1900,0,0,2,100,0,2,10,10,0,0,B,3
192,1900,1,0,6,0,0,2,6,6,0,0,D,1
193,1900,2,0,3,110,0,3,15,15,0,0,B,3
194,1900,0,0,2,0,0,0,0,0,0,0,B,3
195,1900,0,1,1,100,0,0,0,1,3,50,B,3
198,1900,3,0,6,0,0,0,0,0,0,0,D,1
199,1900,2,0,1,110,0,0,0,0,0,0,B,3
200,1900,2,0,1,110,0,4,10,1,0,0,B,3
201,1900,4,0,9,0,0,0,0,1,0,0,B,3
202,1920,7,0,1,0,0,45,95,95,14,300,C,2
